,Card Name,Set #,Set,Stamp,Condition,Lang,Notes
1/2 Binder,Venusaur,15,Base Set,,,,
1/2 Binder,Caterpie,45,Base Set,,,,
1/2 Binder,Metapod,54,Base Set,,,,
1/2 Binder,Weedle,69,Base Set,,,,
1/2 Binder,Nidoran Male,55,Base Set,,,,
1/2 Binder,Nidorino,37,Base Set,,,,
1/2 Binder,Nidoking,11,Base Set,,,,
1/2 Binder,Koffing,51,Base Set,,,,
1/2 Binder,Tangela,66,Base Set,,,,
1/2 Binder,Charmander,46,Base Set,,,,
1/2 Binder,Charmeleon,24,Base Set,,,,
1/2 Binder,Vulpix,68,Base Set,Shadowless,Ink blotches?,,
1/2 Binder,Growlithe,28,Base Set,Shadowless,,,
1/2 Binder,Arcanine,23,Base Set,,,,
1/2 Binder,Ponyta,60,Base Set,Shadowless,,,
1/2 Binder,Squirtle,63,Base Set,,,,
1/2 Binder,Seel,41,Base Set,,,,
1/2 Binder,Dewgong,25,Base Set,Shadowless,,,
1/2 Binder,Staryu,65,Base Set,Shadowless,,,
1/2 Binder,Starmie,64,Base Set,,,,
1/2 Binder,Magikarp,35,Base Set,,,,
1/2 Binder,Pikachu,58,Base Set,,,,
1/2 Binder,Raichu,14,Base Set,,,,
1/2 Binder,Magnemite,53,Base Set,,,,
1/2 Binder,Magneton,9,Base Set,,,,
1/2 Binder,Voltorb,67,Base Set,,,,
1/2 Binder,Electrode,21,Base Set,,,,
1/2 Binder,Electabuzz,20,Base Set,,,,
1/2 Binder,Zapdos,16,Base Set,,Marker on back,,
1/2 Binder,Abra,43,Base Set,,,,
1/2 Binder,Kadabra,32,Base Set,,,,
1/2 Binder,Gastly,50,Base Set,,,,
1/2 Binder,Haunter,29,Base Set,Shadowless,,,
1/2 Binder,Drowzee,49,Base Set,,,,
1/2 Binder,Mewtwo,10,Base Set,,,,
1/2 Binder,Sandshrew,62,Base Set,Shadowless,,,
1/2 Binder,Diglett,47,Base Set,Shadowless,,,
1/2 Binder,Machop,52,Base Set,,,,
1/2 Binder,Machoke,34,Base Set,,,,
1/2 Binder,Machamp,8,Base Set,1st,,,
1/2 Binder,Hitmonchan,7,Base Set,Shadowless,,,
1/2 Binder,Pidgey,57,Base Set,,,,
1/2 Binder,Rattata,61,Base Set,,,,
1/2 Binder,Raticate,40,Base Set,,,,
1/2 Binder,Clefairy,5,Base Set,,,,
1/2 Binder,Doduo,48,Base Set,,,,
1/2 Binder,Chansey,3,Base Set,,,,
1/2 Binder,Clefairy Doll,70,Base Set,,,,
1/2 Binder,Energy Removal,92,Base Set,,,,
1/2 Binder,Defender,80,Base Set,,,,
1/2 Binder,Computer Search,71,Base Set,,,,
1/2 Binder,Energy Retrieval,81,Base Set,,,,
1/2 Binder,Gust of Wind,93,Base Set,,,,
1/2 Binder,Item Finder,74,Base Set,,,,
1/2 Binder,PlusPower,84,Base Set,,,,
1/2 Binder,Pokédex,87,Base Set,,,,
1/2 Binder,Pokémon Flute,86,Base Set,,,,
1/2 Binder,Potion,94,Base Set,1st,,,
1/2 Binder,Potion,94,Base Set,,,,
1/2 Binder,Super Potion,90,Base Set,,,,
1/2 Binder,Switch,95,Base Set,,,,
1/2 Binder,Bill,91,Base Set,,,,
1/2 Binder,Lass,75,Base Set,,,,
1/2 Binder,Pokémon Breeder,76,Base Set,,,,
1/2 Binder,Hitmonchan,7,Base Set,,,,
1/2 Binder,Hitmonchan,7,Base Set,,,,
1/2 Binder,Charizard,4,Generations: Classic Collection,,,,
1/2 Binder,Butterfree,33,Jungle,1st,Iffy,,
1/2 Binder,Nidoran Female,57,Jungle,,,,
1/2 Binder,Nidorina,40,Jungle,,,,
1/2 Binder,Nidoqueen,23,Jungle,,,,
1/2 Binder,Oddish,58,Jungle,,,,
1/2 Binder,Gloom,37,Jungle,,,,
1/2 Binder,Vileplume,31,Jungle,,,,
1/2 Binder,Paras,59,Jungle,,,,
1/2 Binder,Parasect,41,Jungle,,,,
1/2 Binder,Venonat,63,Jungle,,,,
1/2 Binder,Venomoth,29,Jungle,,,,
1/2 Binder,Bellsprout,49,Jungle,1st,,,
1/2 Binder,Weepinbell,48,Jungle,1st,,,
1/2 Binder,Exeggcute,52,Jungle,1st,,,
1/2 Binder,Exeggutor,35,Jungle,,,,
1/2 Binder,Scyther,10,Jungle,,,,
1/2 Binder,Rapidash,44,Jungle,,,,
1/2 Binder,Flareon,3,Jungle,,Scratched holofoil,,
1/2 Binder,Goldeen,53,Jungle,,,,
1/2 Binder,Seaking,46,Jungle,,,,
1/2 Binder,Vaporeon,12,Jungle,,,,
1/2 Binder,Pikachu,60,Jungle,,,,
1/2 Binder,Jolteon,20,Jungle,,Rough shape,,
1/2 Binder,Mr. Mime,22,Jungle,,,,
1/2 Binder,Mankey,55,Jungle,1st,,,
1/2 Binder,Primeape,43,Jungle,,,,
1/2 Binder,Cubone,50,Jungle,,,,
1/2 Binder,Marowak,39,Jungle,,,,
1/2 Binder,Rhyhorn,61,Jungle,,,,
1/2 Binder,Rhydon,45,Jungle,,,,
1/2 Binder,Spearow,62,Jungle,,,,
1/2 Binder,Fearow,36,Jungle,,,,
1/2 Binder,Jigglypuff,54,Jungle,,,,
1/2 Binder,Wigglytuff,32,Jungle,,,,
1/2 Binder,Meowth,56,Jungle,,,,
1/2 Binder,Persian,42,Jungle,,,,
1/2 Binder,Dodrio,34,Jungle,,,,
1/2 Binder,Lickitung,38,Jungle,,,,
1/2 Binder,Kangaskhan,5,Jungle,,,,
1/2 Binder,Tauros,47,Jungle,,,,
1/2 Binder,Eevee,51,Jungle,,,,
1/2 Binder,Poké Ball,64,Jungle,,,,
1/2 Binder,Weedle,100,Base Set 2,,,,
1/2 Binder,Nidoran Female,82,Base Set 2,,,,
1/2 Binder,Nidorina,53,Base Set 2,,,,
1/2 Binder,Tangela,96,Base Set 2,,,,
1/2 Binder,Vulpix,99,Base Set 2,,,,
1/2 Binder,Magmar,51,Base Set 2,,,,
1/2 Binder,Squirtle,93,Base Set 2,,,,
1/2 Binder,Poliwag,88,Base Set 2,,,,
1/2 Binder,Poliwrath,15,Base Set 2,,,,
1/2 Binder,Seel,61,Base Set 2,,,,
1/2 Binder,Goldeen,76,Base Set 2,,,,
1/2 Binder,Seaking,60,Base Set 2,,,,
1/2 Binder,Staryu,95,Base Set 2,,,,
1/2 Binder,Magikarp,50,Base Set 2,,,,
1/2 Binder,Pikachu,87,Base Set 2,,,,
1/2 Binder,Electabuzz,24,Base Set 2,,,,
1/2 Binder,Kadabra,46,Base Set 2,,,,
1/2 Binder,Jynx,45,Base Set 2,,,,
1/2 Binder,Sandshrew,91,Base Set 2,,,,
1/2 Binder,Diglett,71,Base Set 2,,,,
1/2 Binder,Machop,78,Base Set 2,,,,
1/2 Binder,Machoke,49,Base Set 2,,,,
1/2 Binder,Marowak,52,Base Set 2,,,,
1/2 Binder,Pidgeotto,28,Base Set 2,,,,
1/2 Binder,Jigglypuff,77,Base Set 2,,,,
1/2 Binder,Wigglytuff,19,Base Set 2,,,,
1/2 Binder,Meowth,80,Base Set 2,,,,
1/2 Binder,Persian,56,Base Set 2,,,,
1/2 Binder,Doduo,72,Base Set 2,,,,
1/2 Binder,Kangaskhan,26,Base Set 2,,,,
